ID,y
1,78.9923850226
2,93.0972742817
3,76.4462990112
4,78.1620554322
5,112.179980664
8,91.2439766164
10,108.931175888
11,94.585309272
12,117.04467607
14,94.5792825413
15,114.713418131
16,107.646883132
17,95.9568130797
19,102.779242132
20,101.075075663
21,112.328307942
22,114.799135849
23,95.9568130797
26,90.5656692512
28,93.2668077888
29,95.9568130797
33,95.9568130797
35,98.9812295215
41,95.9568130797
42,90.9836695379
43,118.728261262
45,103.894445846
46,102.965527043
51,92.4870286929
53,76.7054791629
55,115.735525446
56,93.3897288101
57,102.942214431
58,93.8446209642
59,107.698610109
63,112.10258133
64,94.7077002601
65,102.032892544
69,91.9934747588
71,95.5045805649
72,104.522598927
73,93.4276854653
76,107.698610109
77,104.08783306
78,116.808306881
82,94.1767092595
83,102.032892544
84,91.9919574662
85,101.223236596
87,110.803577278
88,95.9568130797
89,114.393011466
91,93.0853412438
93,94.0102867435
94,103.290950303
95,93.9262572033
96,112.587781836
97,95.6178089142
98,112.247437257
99,92.3471253674
101,104.037133815
103,114.393011466
104,87.9868927728
105,112.480203063
110,96.2305361034
111,110.987855269
113,110.748469007
114,94.1372200005
115,109.763769794
117,114.393011466
120,93.8597740802
121,113.975685691
122,92.2610726537
123,109.033041569
126,113.18814813
132,115.611344292
135,107.4323533
137,108.238802156
138,92.5176776671
140,95.7167622998
142,110.925252591
144,112.587781836
148,91.3613037746
149,124.618275897
155,93.2039474344
156,111.494868103
157,95.6178089142
162,112.247437257
163,96.8931353207
167,104.353220017
172,118.728261262
179,111.0251616
180,96.5390798571
181,111.080224805
182,93.362693814
183,114.393011466
185,114.393011466
187,113.357252049
188,93.4276854653
189,94.807864909
191,95.6582512414
192,109.65799002
193,94.1443314135
194,112.528960306
195,91.1638407752
196,114.393011466
198,91.0133651603
199,111.283166936
201,100.696262897
204,91.3550677957
205,107.805492238
206,91.1989264732
210,92.4068395961
211,104.037133815
216,111.283166936
219,117.04467607
220,91.67301355
221,111.943492225
226,111.080224805
227,93.8774777168
228,111.283166936
230,112.023469576
231,95.6178089142
235,114.799135849
236,90.3295595101
238,112.53058765
242,102.942214431
243,93.6157510866
244,78.707031549
245,109.641626729
247,113.22841707
248,92.9687335471
249,89.4356513984
250,111.111719431
251,90.3295595101
253,114.799135849
254,91.1299138683
256,95.1276827157
257,91.2839048316
258,118.005309967
259,92.4232632246
262,75.0744133155
266,90.6174754255
267,114.018649564
272,100.811367876
273,114.393011466
275,94.3027179417
276,113.408718084
279,95.5129791388
280,102.032892544
283,95.5690221466
285,111.283166936
288,114.393011466
289,104.732637384
290,102.960034312
291,94.4016895891
292,112.191270282
293,110.312333076
296,91.5110954715
297,112.833019517
298,114.951008568
299,94.1767092595
304,90.1747988669
305,77.9419251607
306,93.3314345112
307,109.826355377
311,109.600772049
313,112.520704709
314,92.1945348709
316,89.8512705124
324,90.1993546784
327,92.3933065388
329,95.0744295181
330,111.623011237
337,103.736782805
338,93.6230140095
339,102.170260079
340,94.7077002601
343,89.9683371711
345,114.713418131
346,97.1482069623
347,110.743893125
349,113.019489364
350,96.6651995605
352,114.007221125
353,95.5060707181
354,75.7805970543
357,96.7706375414
358,110.658742137
362,111.285383493
364,118.053851886
365,102.787025047
366,92.1260160622
367,109.819794783
368,94.6185554239
370,77.7056532678
373,93.8446209642
377,90.1533226697
378,111.523720469
382,107.698610109
384,111.283166936
390,95.4351773035
392,112.247437257
393,114.259124698
395,92.7596987718
396,106.718786004
399,76.5306701572
406,112.520704709
408,112.520704709
409,90.7710490135
410,78.411584008
412,118.461084717
413,91.2778680373
419,92.0068236912
420,111.013752405
421,93.6724500707
430,96.7977314622
434,92.4870286929
436,94.2152143334
437,99.4514933525
438,91.6547353276
439,112.023469576
440,90.0090539277
443,114.399806841
446,93.0039726147
448,91.1437298532
452,93.4593138368
453,103.234073222
457,100.696262897
458,93.1937256292
459,113.711342082
460,101.718782296
462,102.892905794
464,100.442346497
465,117.04467607
467,118.721415682
471,111.865603561
472,77.5772991715
473,92.5288723898
475,93.0039726147
480,96.5229664458
488,109.002349471
490,109.826355377
491,104.497477057
492,77.8997507914
493,93.3171602487
497,91.3686950711
498,113.611139632
499,99.0871935676
500,102.965527043
501,93.4524555282
502,113.22841707
506,79.9144151126
510,111.14749032
511,94.6895099738
512,93.3363541678
516,97.6276038758
518,92.7238868056
519,112.179980664
521,87.1283082484
522,113.65042225
526,110.922025303
529,93.5456658317
532,110.743893125
533,94.9750085744
536,117.688318321
537,90.9541945175
539,92.8977251625
540,104.497477057
541,93.0039726147
543,95.8194474275
546,112.121696066
547,95.5400627264
548,77.7230167262
551,94.2558449428
552,101.718782296
556,98.3549388816
557,95.8797863081
558,109.819794783
559,92.8983746432
560,107.805492238
562,106.367718539
566,91.3322130462
570,113.611139632
571,99.4514933525
572,102.032892544
573,93.4276854653
575,117.04467607
576,114.313232879
577,93.8443355431
579,91.7675750199
580,110.891645304
581,120.067231936
589,109.826355377
591,103.90816187
593,91.8282727222
594,104.278219087
595,93.9926814939
598,96.7706375414
602,110.575008505
604,109.914040155
606,113.052199982
608,92.1260160622
609,104.037133815
610,92.7337239433
616,112.179980664
617,95.2782518032
618,103.017354363
620,102.377387279
622,112.126871071
623,91.7719770405
624,118.587534697
626,116.287312714
628,116.197813044
629,91.4436472466
630,112.023469576
637,90.3765961392
638,106.361343559
643,94.6263760775
645,96.5229664458
646,119.781335602
648,94.4571731166
652,92.5517927992
653,94.9943450421
654,113.611139632
656,113.055027917
657,93.3785425144
659,96.6366804195
660,101.957142315
663,91.0190234984
664,112.682977211
666,102.902168947
668,110.910913978
669,94.3857463588
671,97.2530966779
675,95.5229128939
677,94.7708735567
678,109.641626729
679,106.583904375
682,91.2145073604
685,100.729588837
687,90.4210409539
688,89.8743961726
693,111.412752799
696,92.3933065388
698,95.6040660757
701,93.7166697146
704,103.305185874
705,114.713418131
709,113.234191633
710,95.7739415603
711,108.647361249
712,93.2726119369
714,110.974769199
715,92.5403046661
716,109.826355377
717,95.8945280009
720,114.713418131
721,95.6582512414
724,97.4273437381
725,91.3550677957
726,110.097501944
728,111.996076202
731,94.0341646397
734,102.911732132
738,91.8750464292
745,108.647744326
746,91.7654779569
751,76.5849263593
754,91.7820152767
756,97.9314169672
758,94.8955973071
759,112.15742466
